price_accounting,department,stock_count,location,final_id,match_type
155.8,Hardware,8.0,Bin-698,1555.0,Fully Synchronized
426.34,Hardware,43.0,Bin-802,1783.0,Fully Synchronized
214.42,Garden,32.0,Bin-516,1158.0,Fully Synchronized
478.56,Elec,61.0,Bin-526,1146.0,Fully Synchronized
405.68,Elec,91.0,Bin-482,1750.0,Fully Synchronized
89.85,Hardware,1.0,Bin-596,1931.0,Fully Synchronized
42.71,Hardware,70.0,Bin-139,1187.0,Fully Synchronized
265.76,Elec,57.0,Bin-602,1530.0,Fully Synchronized
115.44,Garden,23.0,Bin-634,1854.0,Fully Synchronized
416.4,Elec,49.0,Bin-774,1871.0,Fully Synchronized
82.05,Elec,30.0,Bin-476,1077.0,Fully Synchronized
409.23,Hardware,13.0,Bin-832,1212.0,Fully Synchronized
256.71,Elec,11.0,Bin-706,1628.0,Fully Synchronized
118.22,Garden,98.0,Bin-141,1165.0,Fully Synchronized
421.44,Tools,9.0,Bin-825,1809.0,Fully Synchronized
340.47,Elec,88.0,Bin-474,1437.0,Fully Synchronized
148.98,Hardware,35.0,Bin-906,1751.0,Fully Synchronized
182.09,Garden,7.0,Bin-418,1617.0,Fully Synchronized
401.05,Hardware,1.0,Bin-908,1972.0,Fully Synchronized
153.59,Hardware,52.0,Bin-269,1341.0,Fully Synchronized
11.66,Tools,37.0,Bin-924,1149.0,Fully Synchronized
16.3,Garden,47.0,Bin-524,1403.0,Fully Synchronized
422.64,Elec,7.0,Bin-796,1094.0,Fully Synchronized
224.58,Tools,5.0,Bin-378,1665.0,Fully Synchronized
25.04,Garden,75.0,Bin-175,1873.0,Fully Synchronized
224.95,Hardware,87.0,Bin-859,1536.0,Fully Synchronized
299.49,Tools,88.0,Bin-235,1888.0,Fully Synchronized
498.44,Hardware,40.0,Bin-735,1400.0,Fully Synchronized
422.77,Tools,8.0,Bin-180,1055.0,Fully Synchronized
427.74,Elec,29.0,Bin-121,1737.0,Fully Synchronized
284.6,Hardware,63.0,Bin-815,1886.0,Fully Synchronized
38.2,Elec,96.0,Bin-403,1912.0,Fully Synchronized
60.32,Hardware,,,1934.0,"In Accounting, Missing from WMS"
179.43,Elec,9.0,Bin-388,1985.0,Fully Synchronized
446.52,Tools,32.0,Bin-946,1671.0,Fully Synchronized
409.34,Garden,18.0,Bin-386,1618.0,Fully Synchronized
341.7,Elec,83.0,Bin-721,1401.0,Fully Synchronized
105.99,Elec,67.0,Bin-60,1440.0,Fully Synchronized
396.95,Elec,56.0,Bin-335,1343.0,Fully Synchronized
339.62,Hardware,84.0,Bin-470,1294.0,Fully Synchronized
168.27,Hardware,2.0,Bin-874,1303.0,Fully Synchronized
344.68,Garden,,,1137.0,"In Accounting, Missing from WMS"
117.89,Tools,71.0,Bin-682,1960.0,Fully Synchronized
22.12,Hardware,62.0,Bin-709,1653.0,Fully Synchronized
396.9,Garden,75.0,Bin-273,1955.0,Fully Synchronized
200.86,Elec,37.0,Bin-276,1967.0,Fully Synchronized
181.94,Tools,9.0,Bin-234,1496.0,Fully Synchronized
364.6,Garden,7.0,Bin-837,1765.0,Fully Synchronized
374.34,Tools,63.0,Bin-679,1723.0,Fully Synchronized
300.57,Garden,71.0,Bin-94,1319.0,Fully Synchronized
164.95,Tools,58.0,Bin-466,1786.0,Fully Synchronized
20.5,Elec,41.0,Bin-72,1461.0,Fully Synchronized
466.33,Elec,38.0,Bin-715,1719.0,Fully Synchronized
261.27,Hardware,10.0,Bin-807,1069.0,Fully Synchronized
387.56,Hardware,19.0,Bin-768,1018.0,Fully Synchronized
34.93,Hardware,,,1606.0,"In Accounting, Missing from WMS"
221.78,Elec,99.0,Bin-936,1347.0,Fully Synchronized
343.28,Garden,44.0,Bin-462,1097.0,Fully Synchronized
174.46,Garden,58.0,Bin-902,1571.0,Fully Synchronized
385.02,Tools,68.0,Bin-636,1874.0,Fully Synchronized
473.48,Tools,48.0,Bin-613,1007.0,Fully Synchronized
386.44,Hardware,14.0,Bin-518,1727.0,Fully Synchronized
443.73,Elec,93.0,Bin-656,1828.0,Fully Synchronized
340.52,Hardware,29.0,Bin-69,1957.0,Fully Synchronized
134.71,Elec,60.0,Bin-632,1128.0,Fully Synchronized
74.56,Elec,,,1220.0,"In Accounting, Missing from WMS"
269.27,Hardware,57.0,Bin-650,1521.0,Fully Synchronized
335.42,Garden,19.0,Bin-5,1531.0,Fully Synchronized
122.04,Garden,12.0,Bin-866,1486.0,Fully Synchronized
362.28,Garden,61.0,Bin-629,1348.0,Fully Synchronized
290.52,Hardware,47.0,Bin-389,1908.0,Fully Synchronized
284.67,Tools,30.0,Bin-293,1180.0,Fully Synchronized
170.35,Garden,73.0,Bin-503,1635.0,Fully Synchronized
402.94,Tools,83.0,Bin-290,1881.0,Fully Synchronized
236.77,Elec,79.0,Bin-769,1162.0,Fully Synchronized
311.01,Hardware,87.0,Bin-627,1597.0,Fully Synchronized
430.3,Hardware,56.0,Bin-583,1104.0,Fully Synchronized
316.34,Hardware,12.0,Bin-227,1948.0,Fully Synchronized
405.74,Elec,46.0,Bin-905,1314.0,Fully Synchronized
210.03,Tools,80.0,Bin-589,1091.0,Fully Synchronized
100.38,Garden,51.0,Bin-592,1885.0,Fully Synchronized
220.77,Tools,27.0,Bin-65,1844.0,Fully Synchronized
175.16,Garden,83.0,Bin-166,1485.0,Fully Synchronized
186.21,Hardware,28.0,Bin-299,1041.0,Fully Synchronized
220.57,Garden,84.0,Bin-303,1827.0,Fully Synchronized
289.27,Elec,27.0,Bin-124,1808.0,Fully Synchronized
207.3,Elec,19.0,Bin-86,1203.0,Fully Synchronized
85.51,Elec,37.0,Bin-356,1867.0,Fully Synchronized
310.71,Elec,,,1796.0,"In Accounting, Missing from WMS"
49.9,Elec,2.0,Bin-417,1788.0,Fully Synchronized
156.42,Garden,21.0,Bin-575,1550.0,Fully Synchronized
224.97,Tools,41.0,Bin-536,1419.0,Fully Synchronized
134.84,Elec,96.0,Bin-399,1139.0,Fully Synchronized
28.44,Tools,40.0,Bin-58,1356.0,Fully Synchronized
280.32,Elec,87.0,Bin-37,1843.0,Fully Synchronized
20.01,Garden,81.0,Bin-644,1420.0,Fully Synchronized
331.56,Garden,67.0,Bin-577,1207.0,Fully Synchronized
100.26,Garden,,,1593.0,"In Accounting, Missing from WMS"
376.23,Tools,89.0,Bin-461,1084.0,Fully Synchronized
20.07,Garden,74.0,Bin-507,1958.0,Fully Synchronized
17.98,Hardware,21.0,Bin-165,1605.0,Fully Synchronized
474.47,Garden,61.0,Bin-429,1970.0,Fully Synchronized
147.09,Tools,,,1225.0,"In Accounting, Missing from WMS"
445.36,Hardware,75.0,Bin-749,1545.0,Fully Synchronized
280.6,Garden,48.0,Bin-711,1703.0,Fully Synchronized
173.42,Garden,92.0,Bin-543,1559.0,Fully Synchronized
408.62,Garden,84.0,Bin-540,1961.0,Fully Synchronized
421.01,Hardware,88.0,Bin-401,1646.0,Fully Synchronized
363.87,Tools,63.0,Bin-737,1662.0,Fully Synchronized
56.11,Tools,24.0,Bin-183,1892.0,Fully Synchronized
345.25,Elec,94.0,Bin-917,1402.0,Fully Synchronized
37.84,Garden,84.0,Bin-877,1964.0,Fully Synchronized
472.74,Garden,56.0,Bin-611,1438.0,Fully Synchronized
404.63,Elec,62.0,Bin-893,1922.0,Fully Synchronized
431.94,Elec,53.0,Bin-513,1311.0,Fully Synchronized
166.85,Elec,75.0,Bin-620,1095.0,Fully Synchronized
317.45,Elec,55.0,Bin-534,1296.0,Fully Synchronized
62.31,Tools,3.0,Bin-641,1893.0,Fully Synchronized
478.97,Elec,82.0,Bin-295,1624.0,Fully Synchronized
282.13,Elec,78.0,Bin-521,1354.0,Fully Synchronized
219.08,Garden,85.0,Bin-226,1630.0,Fully Synchronized
414.27,Garden,54.0,Bin-685,1614.0,Fully Synchronized
89.17,Hardware,71.0,Bin-368,1650.0,Fully Synchronized
109.67,Elec,4.0,Bin-875,1943.0,Fully Synchronized
56.84,Elec,34.0,Bin-137,1473.0,Fully Synchronized
381.62,Tools,,,1658.0,"In Accounting, Missing from WMS"
440.02,Elec,62.0,Bin-530,1280.0,Fully Synchronized
346.72,Elec,66.0,Bin-198,1428.0,Fully Synchronized
100.19,Tools,68.0,Bin-779,1558.0,Fully Synchronized
349.63,Elec,92.0,Bin-25,1359.0,Fully Synchronized
438.07,Hardware,40.0,Bin-307,1052.0,Fully Synchronized
270.87,Hardware,16.0,Bin-324,1442.0,Fully Synchronized
124.82,Hardware,36.0,Bin-754,1028.0,Fully Synchronized
222.79,Elec,24.0,Bin-38,1583.0,Fully Synchronized
159.38,Tools,77.0,Bin-111,1978.0,Fully Synchronized
175.59,Tools,80.0,Bin-600,1882.0,Fully Synchronized
22.53,Elec,41.0,Bin-329,1580.0,Fully Synchronized
329.05,Garden,13.0,Bin-30,1004.0,Fully Synchronized
495.63,Garden,85.0,Bin-772,1947.0,Fully Synchronized
432.03,Hardware,96.0,Bin-545,1424.0,Fully Synchronized
238.75,Garden,2.0,Bin-559,1057.0,Fully Synchronized
152.81,Garden,72.0,Bin-784,1759.0,Fully Synchronized
157.3,Garden,70.0,Bin-658,1453.0,Fully Synchronized
473.31,Tools,70.0,Bin-538,1358.0,Fully Synchronized
431.31,Garden,54.0,Bin-776,1460.0,Fully Synchronized
117.23,Garden,77.0,Bin-688,1811.0,Fully Synchronized
108.64,Elec,91.0,Bin-836,1760.0,Fully Synchronized
373.18,Garden,24.0,Bin-365,1283.0,Fully Synchronized
83.93,Elec,99.0,Bin-90,1127.0,Fully Synchronized
227.32,Hardware,23.0,Bin-712,1896.0,Fully Synchronized
304.74,Hardware,87.0,Bin-919,1192.0,Fully Synchronized
325.01,Tools,74.0,Bin-40,1020.0,Fully Synchronized
96.37,Garden,39.0,Bin-869,1462.0,Fully Synchronized
233.87,Tools,20.0,Bin-95,1436.0,Fully Synchronized
72.98,Hardware,0.0,Bin-846,1548.0,Fully Synchronized
187.79,Hardware,4.0,Bin-501,1590.0,Fully Synchronized
70.1,Hardware,30.0,Bin-306,1331.0,Fully Synchronized
486.5,Garden,93.0,Bin-666,1414.0,Fully Synchronized
389.52,Garden,17.0,Bin-427,1518.0,Fully Synchronized
49.91,Tools,41.0,Bin-31,1850.0,Fully Synchronized
246.85,Elec,45.0,Bin-887,1350.0,Fully Synchronized
231.77,Elec,27.0,Bin-561,1717.0,Fully Synchronized
380.4,Hardware,65.0,Bin-233,1250.0,Fully Synchronized
264.78,Hardware,2.0,Bin-935,1449.0,Fully Synchronized
86.01,Tools,56.0,Bin-704,1275.0,Fully Synchronized
28.38,Hardware,,,1459.0,"In Accounting, Missing from WMS"
399.91,Garden,90.0,Bin-556,1136.0,Fully Synchronized
438.66,Elec,87.0,Bin-639,1707.0,Fully Synchronized
49.92,Hardware,58.0,Bin-701,1640.0,Fully Synchronized
190.91,Elec,85.0,Bin-868,1767.0,Fully Synchronized
19.97,Hardware,82.0,Bin-790,1566.0,Fully Synchronized
82.38,Garden,75.0,Bin-509,1083.0,Fully Synchronized
185.32,Garden,44.0,Bin-883,1995.0,Fully Synchronized
499.97,Tools,80.0,Bin-803,1864.0,Fully Synchronized
388.79,Garden,28.0,Bin-83,1179.0,Fully Synchronized
88.86,Tools,39.0,Bin-695,1289.0,Fully Synchronized
162.98,Hardware,84.0,Bin-169,1677.0,Fully Synchronized
230.1,Tools,64.0,Bin-402,1592.0,Fully Synchronized
365.23,Tools,85.0,Bin-947,1822.0,Fully Synchronized
235.44,Elec,31.0,Bin-391,1349.0,Fully Synchronized
264.38,Tools,45.0,Bin-885,1604.0,Fully Synchronized
310.52,Garden,50.0,Bin-916,1669.0,Fully Synchronized
368.52,Garden,18.0,Bin-195,1691.0,Fully Synchronized
402.55,Garden,,,1641.0,"In Accounting, Missing from WMS"
71.55,Hardware,21.0,Bin-890,1493.0,Fully Synchronized
164.2,Elec,82.0,Bin-242,1122.0,Fully Synchronized
204.45,Hardware,85.0,Bin-400,1744.0,Fully Synchronized
267.89,Elec,5.0,Bin-85,1564.0,Fully Synchronized
494.41,Garden,33.0,Bin-817,1342.0,Fully Synchronized
273.48,Tools,55.0,Bin-942,1552.0,Fully Synchronized
198.67,Tools,73.0,Bin-753,1594.0,Fully Synchronized
33.99,Hardware,51.0,Bin-371,1457.0,Fully Synchronized
211.51,Elec,1.0,Bin-410,1444.0,Fully Synchronized
16.74,Garden,18.0,Bin-199,1823.0,Fully Synchronized
459.37,Garden,96.0,Bin-597,1510.0,Fully Synchronized
13.7,Elec,58.0,Bin-18,1168.0,Fully Synchronized
333.01,Tools,96.0,Bin-73,1291.0,Fully Synchronized
417.94,Hardware,4.0,Bin-334,1511.0,Fully Synchronized
480.09,Elec,1.0,Bin-128,1387.0,Fully Synchronized
454.69,Hardware,41.0,Bin-15,1890.0,Fully Synchronized
195.42,Garden,56.0,Bin-587,1138.0,Fully Synchronized
419.97,Garden,13.0,Bin-855,1370.0,Fully Synchronized
431.5,Tools,47.0,Bin-213,1522.0,Fully Synchronized
292.67,Hardware,71.0,Bin-204,1051.0,Fully Synchronized
90.33,Garden,92.0,Bin-861,1839.0,Fully Synchronized
165.77,Garden,23.0,Bin-471,1507.0,Fully Synchronized
153.22,Garden,32.0,Bin-61,1563.0,Fully Synchronized
362.56,Elec,19.0,Bin-342,1992.0,Fully Synchronized
61.84,Hardware,59.0,Bin-345,1697.0,Fully Synchronized
83.05,Tools,13.0,Bin-867,1817.0,Fully Synchronized
492.44,Tools,49.0,Bin-745,1785.0,Fully Synchronized
176.84,Elec,33.0,Bin-82,1863.0,Fully Synchronized
224.55,Tools,65.0,Bin-344,1732.0,Fully Synchronized
110.53,Garden,31.0,Bin-350,1761.0,Fully Synchronized
67.33,Elec,47.0,Bin-625,1099.0,Fully Synchronized
314.75,Hardware,71.0,Bin-440,1532.0,Fully Synchronized
197.73,Garden,63.0,Bin-645,1481.0,Fully Synchronized
20.74,Elec,30.0,Bin-900,1574.0,Fully Synchronized
277.4,Tools,64.0,Bin-477,1019.0,Fully Synchronized
35.92,Garden,36.0,Bin-132,1915.0,Fully Synchronized
342.56,Garden,95.0,Bin-262,1339.0,Fully Synchronized
454.13,Elec,65.0,Bin-447,1323.0,Fully Synchronized
193.42,Garden,,,1840.0,"In Accounting, Missing from WMS"
24.53,Elec,51.0,Bin-689,1001.0,Fully Synchronized
221.34,Garden,77.0,Bin-610,1297.0,Fully Synchronized
387.91,Elec,74.0,Bin-481,1735.0,Fully Synchronized
450.31,Garden,94.0,Bin-606,1307.0,Fully Synchronized
116.97,Elec,67.0,Bin-348,1663.0,Fully Synchronized
19.99,Hardware,71.0,Bin-77,1286.0,Fully Synchronized
344.52,Elec,73.0,Bin-209,1758.0,Fully Synchronized
166.96,Elec,80.0,Bin-614,1945.0,Fully Synchronized
217.23,Tools,84.0,Bin-162,1085.0,Fully Synchronized
416.01,Tools,97.0,Bin-56,1216.0,Fully Synchronized
482.61,Tools,72.0,Bin-797,1821.0,Fully Synchronized
83.5,Tools,23.0,Bin-96,1720.0,Fully Synchronized
467.26,Elec,49.0,Bin-55,1362.0,Fully Synchronized
482.14,Elec,23.0,Bin-157,1498.0,Fully Synchronized
292.68,Garden,99.0,Bin-117,1398.0,Fully Synchronized
186.2,Hardware,8.0,Bin-897,1914.0,Fully Synchronized
16.94,Elec,22.0,Bin-232,1399.0,Fully Synchronized
207.91,Elec,60.0,Bin-443,1477.0,Fully Synchronized
227.78,Garden,42.0,Bin-87,1929.0,Fully Synchronized
298.26,Tools,69.0,Bin-216,1135.0,Fully Synchronized
212.66,Elec,24.0,Bin-593,1368.0,Fully Synchronized
229.52,Hardware,22.0,Bin-795,1327.0,Fully Synchronized
391.22,Hardware,78.0,Bin-563,1865.0,Fully Synchronized
323.24,Hardware,14.0,Bin-149,1463.0,Fully Synchronized
30.86,Garden,39.0,Bin-615,1271.0,Fully Synchronized
319.18,Hardware,20.0,Bin-22,1954.0,Fully Synchronized
36.84,Hardware,81.0,Bin-278,1587.0,Fully Synchronized
131.39,Tools,50.0,Bin-178,1056.0,Fully Synchronized
54.39,Tools,10.0,Bin-154,1108.0,Fully Synchronized
238.36,Elec,10.0,Bin-328,1802.0,Fully Synchronized
454.44,Tools,,,1201.0,"In Accounting, Missing from WMS"
314.11,Garden,94.0,Bin-408,1010.0,Fully Synchronized
145.56,Elec,78.0,Bin-322,1982.0,Fully Synchronized
335.41,Elec,77.0,Bin-425,1613.0,Fully Synchronized
340.85,Garden,64.0,Bin-785,1920.0,Fully Synchronized
179.28,Elec,,,1818.0,"In Accounting, Missing from WMS"
312.35,Elec,11.0,Bin-203,1780.0,Fully Synchronized
481.19,Garden,14.0,Bin-852,1745.0,Fully Synchronized
37.47,Tools,30.0,Bin-599,1494.0,Fully Synchronized
303.82,Garden,52.0,Bin-436,1975.0,Fully Synchronized
272.88,Garden,96.0,Bin-791,1404.0,Fully Synchronized
194.84,Hardware,18.0,Bin-793,1147.0,Fully Synchronized
417.52,Hardware,27.0,Bin-572,1713.0,Fully Synchronized
245.46,Elec,76.0,Bin-8,1549.0,Fully Synchronized
125.67,Garden,10.0,Bin-652,1512.0,Fully Synchronized
450.63,Tools,63.0,Bin-142,1804.0,Fully Synchronized
463.57,Elec,,,1946.0,"In Accounting, Missing from WMS"
202.73,Tools,33.0,Bin-827,1540.0,Fully Synchronized
214.0,Hardware,78.0,Bin-828,1492.0,Fully Synchronized
314.8,Tools,64.0,Bin-834,1753.0,Fully Synchronized
27.22,Tools,6.0,Bin-67,1472.0,Fully Synchronized
450.43,Elec,69.0,Bin-514,1733.0,Fully Synchronized
93.64,Tools,41.0,Bin-7,1731.0,Fully Synchronized
83.65,Garden,98.0,Bin-315,1274.0,Fully Synchronized
481.32,Hardware,10.0,Bin-239,1556.0,Fully Synchronized
196.43,Hardware,29.0,Bin-940,1962.0,Fully Synchronized
250.14,Hardware,76.0,Bin-948,1953.0,Fully Synchronized
381.34,Garden,33.0,Bin-248,1183.0,Fully Synchronized
187.16,Tools,34.0,Bin-375,1156.0,Fully Synchronized
421.01,Tools,,,1748.0,"In Accounting, Missing from WMS"
472.6,Tools,27.0,Bin-119,1572.0,Fully Synchronized
166.68,Tools,0.0,Bin-4,1189.0,Fully Synchronized
245.34,Garden,89.0,Bin-931,1235.0,Fully Synchronized
411.56,Hardware,2.0,Bin-759,1900.0,Fully Synchronized
217.15,Garden,93.0,Bin-928,1623.0,Fully Synchronized
301.67,Elec,84.0,Bin-653,1325.0,Fully Synchronized
10.18,Tools,40.0,Bin-133,1351.0,Fully Synchronized
383.31,Tools,32.0,Bin-842,1474.0,Fully Synchronized
81.45,Hardware,78.0,Bin-224,1520.0,Fully Synchronized
25.18,Hardware,92.0,Bin-567,1928.0,Fully Synchronized
220.95,Tools,13.0,Bin-502,1258.0,Fully Synchronized
271.42,Elec,84.0,Bin-2,1410.0,Fully Synchronized
39.54,Garden,51.0,Bin-506,1217.0,Fully Synchronized
48.57,Elec,9.0,Bin-894,1102.0,Fully Synchronized
301.18,Hardware,70.0,Bin-746,1063.0,Fully Synchronized
46.13,Elec,15.0,Bin-118,1602.0,Fully Synchronized
341.65,Garden,22.0,Bin-397,1561.0,Fully Synchronized
366.48,Elec,50.0,Bin-449,1066.0,Fully Synchronized
219.95,Garden,30.0,Bin-818,1749.0,Fully Synchronized
134.78,Hardware,5.0,Bin-519,1206.0,Fully Synchronized
67.79,Garden,13.0,Bin-661,1394.0,Fully Synchronized
141.64,Hardware,57.0,Bin-944,1371.0,Fully Synchronized
487.18,Hardware,60.0,Bin-359,1034.0,Fully Synchronized
87.87,Hardware,4.0,Bin-851,1040.0,Fully Synchronized
215.1,Tools,86.0,Bin-196,1573.0,Fully Synchronized
286.48,Tools,23.0,Bin-647,1376.0,Fully Synchronized
370.89,Hardware,23.0,Bin-221,1282.0,Fully Synchronized
167.54,Garden,23.0,Bin-719,1467.0,Fully Synchronized
317.54,Tools,0.0,Bin-822,1326.0,Fully Synchronized
310.1,Garden,18.0,Bin-552,1466.0,Fully Synchronized
202.77,Elec,48.0,Bin-450,1689.0,Fully Synchronized
426.87,Tools,55.0,Bin-467,1951.0,Fully Synchronized
245.21,Hardware,92.0,Bin-310,1439.0,Fully Synchronized
319.49,Hardware,49.0,Bin-920,1991.0,Fully Synchronized
169.21,Tools,82.0,Bin-492,1232.0,Fully Synchronized
267.42,Elec,42.0,Bin-379,1363.0,Fully Synchronized
277.25,Garden,38.0,Bin-555,1654.0,Fully Synchronized
146.77,Elec,95.0,Bin-6,1801.0,Fully Synchronized
262.76,Tools,19.0,Bin-794,1560.0,Fully Synchronized
263.94,Elec,6.0,Bin-886,1941.0,Fully Synchronized
466.83,Hardware,81.0,Bin-872,1141.0,Fully Synchronized
20.26,Garden,55.0,Bin-143,1270.0,Fully Synchronized
387.91,Hardware,88.0,Bin-343,1116.0,Fully Synchronized
384.08,Hardware,62.0,Bin-167,1031.0,Fully Synchronized
478.15,Elec,70.0,Bin-360,1482.0,Fully Synchronized
224.26,Tools,30.0,Bin-810,1651.0,Fully Synchronized
202.97,Elec,11.0,Bin-756,1372.0,Fully Synchronized
335.99,Garden,34.0,Bin-557,1782.0,Fully Synchronized
79.94,Elec,61.0,Bin-581,1229.0,Fully Synchronized
421.58,Elec,70.0,Bin-725,1757.0,Fully Synchronized
249.86,Tools,91.0,Bin-367,1191.0,Fully Synchronized
309.71,Garden,5.0,Bin-452,1469.0,Fully Synchronized
252.6,Hardware,48.0,Bin-158,1784.0,Fully Synchronized
